AGAPPL,Commodity_Crop_ACRE,Hay_ACRE,Permanent_Pasture_ACRE,Noncommercial_Woodland_ACRE,Commercial_Timber_ACRE,Other_Crops_ACRE,Homesite_ACRE,Road_Waste_Pond_ACRE,CRP_ACRE,Conservation_Practices_ACRE,Other_Use_ACRE,STATED_TOTAL_ACRES,GROSS_INCOME,GROSS_INCOME_2,GROSS_INCOME_3
214,68.7,,,9.3,,,2,,,,,80,,,
215,33,,,5.43,,,3,,,1,,BLANK,,,
216,192.63,,,15.03,,,,3.2,,4.7,,215.83,,,
217,77.493,,,,,,,,,,,77.493,,,
218,47.7,,,11.202,,,,,,,,BLANK,,,
219,5,,,,,,,,,,,5,,,
220,79.809,,,15.653,,,,,3.31,,,98.772,,,
222,192.846,,,7.35,,,2,12.89,,,,215.086,,,
223,439.5,,,9.05,,,,8.967,,,,457.517,,,
224,108,,,20,,,4,4,,,,136,,,
225,175,,,12,,,4,,,,,191,,,
226,57.12,,,,16.38,,3.36,2.5,,,,79.36,,,
227,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,
229,87,,,1.71,,,3.306,,3.47,,,95.486,,,
230,82.104,,,37.345,,,2.521,19.888,70.27,15.733,,227.861,,,
231,178.55,,,,,,,4.849,14.82,,,198.619,,,
232,,,,,,,,,,,,,,,
233,51.28,,,,,,,0.956,,0.28,,BLANK,,,
234,471,19,40,70,,,5,10,,,,BLANK,,,
235,168.63,0,0,49.79,0,0,1,9.22,0,0,0,228.64,,,
236,0,0,0,9.393,0,0,1,2.667,0,0,0,13.06,,,
237,173.65,0,0,3.54,0,0,2.68,6.455,1.15,0,0,187.475,,,
238,82.245,,,7.5,,,,6.212,,,,95.957,,,
239,104.25,,,,,,3.5,3.75,,,,111.5,,,
240,,30,,,,,,0.996,,,,30.996,,,
241,,,,,,,,,,,,,,,
242,46.507,,,,,,,,,,,46.507,,,
243,,,,,,,,,,,,,,,
244,38,0,0,0,0,0,3.058,0,0,0,0,41.058,,,
245,37.174,,,3.882,,,,3.013,2.1,,,46.169,,,
246,180,,,14.47,,,,,,,,194.467,,,
247,,,,,,,,,,,,,2357.19,,
248,1285.153,,,42.68,,,3,40.257,,,,1372.39,,,
249,129,,,7,,,2,0.53,0.43,,,138.96,,,
250,92.882,,,2.785,,,1,3.711,12.864,,3.266,116.508,,,
251,75.871,,,,,,,,,,,75.871,,,
252,23.5,,,,,,2,2.04,,,,27.54,,,
253,283.999,,,10.491,,,1,9.211,,,,304.701,,,
254,17.651,,,,,,,,,,,17.651,,,
255,134.981,,,,,,,2,,,,BLANK,,,
256,28.999,,,,,,,2,,,,30.999,,,
257,70.781,,,6.705,,,,2.842,,,,80.328,,,
259,25.54,,,3.89,,,,,,,,29.43,,,
260,,,,,8.216,,,,,,,8.216,,,
261,71.6,,,,,,,4.947,,,,76.547,,,
262,,,,,,,,,,,,,,,
264,,,,,9.933,,,,,,,9.933,,,
265,60,,,,,,,,,,,60,,,
266,,,,15.6,,,,3.37,19.03,,,38,,,
267,14,,,,,,1,0.169,,,,BLANK,,,
268,30.699,,,,,,,3.47,,,,34.169,,,
269,262.881,,,8.216,,,2,,,,,273.097,,,
271,,,,,,,,,,,,,,,
272,,,,28,,,,,,,,28,,,
273,153.52,0,31.3,,,,1,14.18,,,,200,,,
274,74.67,,,,,,1,4.33,,,,80,,,
275,56.77,,,15.2,,,1,2.56,,,,75.53,,,
276,49,9,0,16,0,0,3,1,14.5,0,0,92.5,,,
277,67.376,,,,,,,0.5,,,,67.876,,,
278,28.51,,,,,,,,,,,28.51,,,
279,79,0,0,0,1,0,0,0,0,0,0,BLANK,,,
280,115.972,,,0.036,,,,2.8,,,,118.808,,,
281,,,,,,,,,,,,,,,
282,64.829,,,,,,1.25,1.25,,,,67.329,,,
283,101.03,,,6.39,,,,1.811,1.25,,,110.481,,,
284,7.66,,,,,,4.6,4.07,,,,16.33,,,
285,,,,,,,,,,,,,,,
286,16.436,,,,,,1,3.005,,,,20.441,,,
287,92.01,,,,,,2,6.31,9.68,,,111,,,
288,37.914,,,0.085,,,,1.001,,,,39,,,
289,74,,,9,,,1.5,2.8,,,,87.303,,,
290,73.69,,,,,,,,,,,73.69,,,
291,328.435,,,,53,,7,4.418,,,,392.853,,,
292,420,0,0,20,0,0,3,0,0,0,0,BLANK,,,
294,80,,,23.75,,,,,,,,103.75,,,
295,16.612,,,,,,,1,,,,17.612,,,
296,248.4,0,0,44.82,0,0,0,0,9.4,4.24,0,306.86,,,
297,123.8,,,10,,,,20.137,32.77,,,186.707,,,
298,170.55,,,16.324,,,,,,,,186.874,,,
299,28.144,,,,,,,,,,,28.144,,,
300,29.3,,,,,,,0.7,,,,30,,,
301,74.69,,,25.03,,,,2.89,,,,102.61,,,
302,,,,,,,,,,,,,,,
304,632.857,13.46,14,35.68,,,1,26.325,0.92,0.54,,724.782,,,
305,103.06,0,0,14.56,0,0,0,2.058,0,0,0,119.678,,,
306,,,,,,,,,,,,,,,
307,79.075,,,12.19,,,2.43,0.672,,1.49,,95.857,,,
308,71.984,,,,,,,6.345,,,,78.329,,,
309,21.43,0.75,,,,,1,2.3,4.6,,,31.65,,,
310,,,,,11,,1,6,,,,BLANK,,,
311,9.98,,,,,,,1.975,,,,11.955,,,
312,230.242,,,50.37,,,3.61,13.267,4.4,0.6,,302.489,,,
313,366.187,3.63,,55.312,,,1,36.7,2.9,,,465.729,,,
314,876.933,,,116.55,,,4.9,43.374,6.9,10.82,,1059.477,,,
315,,,,,,37.033,1,1.967,,,,BLANK,,,
316,99.511,,,,,,,,,,,BLANK,,,
317,22.661,0,0,23.569,0,0,1,8.42,0,0,0,55.65,,,
318,93.35,,,,,,,,6.65,,,BLANK,,,
319,316.703,0,0,8,0,0,2,0,10,0,0,336.703,,,
320,185.16,10,2.5,64.6,,,1,9.448,2.67,,2.66,278.038,,,
321,,,,,62.586,,1.5,7.315,,,,71.401,,,
322,,140,,10.75,,,,5.37,0.51,0.62,,157.25,,,
323,,,,,,,,,,,,60,,,
324,,,,8.502,,,2,,,,,10.502,,,
325,126.364,,,,,,,,,,,126.364,,,
326,57,,,,,,2,0.629,,,,59.629,,,
327,4,,,,24.726,,,,,,,BLANK,,,
328,156.266,,,,,,,8.034,,,,164.3,,,
329,17.737,,,,,,,,,,,BLANK,,,
330,,,,,,,,,,,,,,,
331,9.219,,,2.14,,,2.77,,1.14,,,15.269,,,
332,,17,,50,,,,0.04,,79.91,,146.95,,,
333,,,,,,,,,,,,,,,
334,41.058,,,,,,,,,,,BLANK,,,
335,386.913,,,31.453,,,2.31,4.36,5.96,,,430.996,,,
336,,,,,,,,,,,,,,,
337,37,0,0,23,0,0,0,0,0,0,0,60,,,
338,10.4,,,19.541,,,,,,,,29.941,,,
339,91.86,,,14.39,,,,6.4,,,,112.655,,,
340,,,,,,,,1,,,,35,,,
341,120,,,10,,,,,,,,BLANK,,,
342,25.92,5,2,0.378,,,3,0.842,,,,37.14,,,
343,115,,,,,,2,2.21,,,,119.21,,,
344,61.922,,,11.769,,,1,2.12,,,,76.811,,,
345,,,,,,,,,,,,,,,
346,55.091,,,,,,,1,,,,56.091,,,
347,,,,,,,,,,,,,,,
348,78,,,,,,,1.127,,,,79.127,,,
349,20,29,7,14,,,1.47,,,,,71.47,,,
351,157.695,0,0,0,0,0,0,0,0,0,0,157.695,,,
352,96.18,,,1.12,,,1,2.243,,,,100.543,,,
353,97.277,,,,,,,,,,,97.277,,,
354,32.21,,,2.806,,,,,,,,35.016,,,
355,,,,,,,,,,,,,,,
356,260,,,16,,,3,3,,,,BLANK,,,
357,30.714,,,2.197,,,,2.026,,,,34.937,,,
358,70,,,5.956,,,1,,,,3.129,80.085,,,
359,188,,,2.76,,,5.49,7.72,3.53,,,207.5,,,
360,43,,,,,,,,,,,BLANK,6780,,
361,84,,,6,,,1,,,,,BLANK,,,
362,8.913,,,,,,,,,,,8.913,3788.03,,
363,74.771,,,17.772,,,,4.669,14.74,,,111.952,,,
365,60.07,0,0,18.53,0,0,0,1.4,0,0,0,80,,,
366,127,,,26,,,,4.145,,,,157.145,,,
367,,,36,,,,2.989,,16,,,BLANK,,,
368,34.3,,,3,,,2.6,0.1,,,,40,,,
369,80.53,,,,,,,,,,60.66,141.19,,,
370,,,,,,,,,,,,,,,
371,76.206,,,46.398,,,1,6.664,,,,130.268,,,
372,49.17,,,12.39,,,,2.086,12.47,,,BLANK,,,
373,,,,,,,,,,,,,,,
374,115.01,,,25.864,,,,3.748,,,,144.622,,,
375,,,,,,,,,,,,,,,
376,112,,,,,,,,,,,BLANK,,,
377,14.643,,,12.68,,,,,,,0.909,28.232,,,
379,56.39,,,,,,1.39,3.665,,,,61.445,,,
380,164.531,,,0.151,,,1,5.462,,,,171.184,,,
381,,,,,,,,,,,,,,,
382,6.864,,,,,,,,,,,BLANK,3176.66,,
383,60,,,16,,,4,,,,,80,,,
384,,,,,,,,,,,,,,,
385,68,,,8.5,,,3.5,,,,,BLANK,,,
386,,,,,,,,,,,,,,,
387,9.15,,,,,,,6.216,,,,BLANK,5558,,
388,8.28,,,,,,,,,,,8.28,3840,,
389,,1.63,,3.816,,,,2.37,5.635,10.46,,23.911,,,
390,61.358,,,9.83,,,1,2.365,,,,74.553,,,
391,61.74,0,0,9.6,0,0,0,1.924,3.38,0,0,76.644,,,
393,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,
396,62.52,,14.1,20.79,,,,7.656,,,,105.284,,,
397,39.77,,,4.2,,,,,10.62,,,54.598,,,
398,27.98,,,,,,,2.1,,,,30.08,,,
399,179.68,,,,,,3.28,,1.39,,,187.35,,,
400,201.54,,,41.35,,,2,3.25,,,10.87,259.01,,,
401,89,,,20,,,,4.477,,,,113.477,,,
402,0,35,15.71,,0,0,2,11,0,0,,63.71,,,
403,40.025,,,,,,,,,,,40.025,,,
404,23,,,1,,,1,2.592,,,,27.592,,,
405,20.2,0,0,5,0,0,0,0,0,0,0,26.2,,,
406,33,0,0,0,0,0,0,0.7,,0,,33.7,,,
408,,,,,,,,,,,,,,,
409,18,0,0,18.292,0,0,1,12.208,0,0,0,49.5,,,
411,390.888,,,,,,,,,,,390.888,,,
412,,,,,,,,,,,,,,,
413,110.1,,,16.348,,,,4.457,10.88,,,141.845,,,
416,373.421,,,81.32,,,2,2.68,4.31,,,469.31,,,
417,5.027,,,,,,,,,,,BLANK,,,
418,19.37,,,12.048,,,,,23.18,,,BLANK,,,
419,270.357,,,53.54,,,5.81,11.096,,,,340.803,,,
420,25.43,,,13.6,,,,0.247,,,,39.277,,,
421,129.196,,,14.846,,,1.95,7.778,6.23,,,160,,,
422,183.67,,,,16.88,,1.7,2.814,,,,BLANK,,,
423,12.5,,4.5,,,,5.767,,,,,BLANK,,,
424,,,,,,,,,,,,,,,
425,90.89,,25,,,,2,32.714,,,,150.604,,,
426,62.42,,,19.45,,,,,,,,81.87,,,
427,49.428,0,0,0,0,0,0,0,0,0,0,BLANK,,,
429,133,0,0,5.23,0,0,3.19,1.5,9.07,,0,151.99,,,
430,,,,,,,,,,,,,,,
431,30,,,,,,1.5,0.5,,,,BLANK,,,
432,,94,,,,,,,,,,94,,,
433,114.82,,,3.2,,,1,8.98,,1,,129,,,
434,61.06,0,0,0,0,0,1,0,0,0,0,62.06,,,
436,53.37,,,,,,,1.783,,,,55.153,,,
437,53.49,0.8,5,10,0,0,1,14.71,0,0,0,84,,,
438,77.7,,,9,,,1,2.3,,,,90,,,
439,15,5,5,17.967,,2,3,,,,,47.967,,,
440,52,,3,19.36,,,2,,,,,76.36,,,
441,80.47,,,24.649,,,,,4.65,,,BLANK,,,
442,3.5,,,,,,1,,,,1.1,BLANK,2838.71,6410.25,
443,288.839,,,,,,,,0.7,,,BLANK,,,
444,106.14,,,10.95,,,2.86,4.823,,,,124.773,,,
445,,,,,,,,,,,,,,,
446,199.57,,,45.712,,,,1.983,4.4,,,251.665,,,
448,85.931,,,,,,,,,,,85.931,,,
449,24,,,,,,,,,,,24,,,
450,110.93,,,38.67,,,4,6.4,,,,160,,,
451,12,,,22.547,,,7,,,,,41.547,,,
452,5.6,,,,12,,1.4,0.92,,,,BLANK,3225,,
453,50.947,0,0,5,0,0,2,0,0,0,0,57.947,16718.14,,
454,,,10,4,,,3,4,,,,BLANK,,,
455,124,,,50.33,,,1,4,,,,192.33,,,
456,55.11,,,23.918,,,,0.79,1.5,2.24,,83.558,,,
457,58,,,22.524,,,,7,,,,87.524,,,
458,8.619,,,,,,,,,,,8.619,4316.83,,
459,69.61,,,1.203,,,,,5.237,,,76.05,,,
460,140.753,,,6.45,,,,,1.84,,,149.043,,,
461,23,,,1.036,,,,1,,,,25.036,,,
462,224,,,20.063,,,3,14.3,6.7,,,268.063,,,
463,268.42,,,18,,,3,7.09,,,,296.51,,,
464,66,0,0,0,0,0,4.5,3.12,0,0,0,73.62,,,
465,,,,,,,,,4.77,,,BLANK,,,
466,,,,,,,,,,,,,,,
467,95,,5,8.3,,,2,4.356,,,,114.656,,,
468,,,,,,,,,,,,,,,
469,44.33,3.6,,31.98,,,1,7.964,,,,88.645,,,
470,6.4,,,14.3,,,2.2,,,,,22.9,,,
471,71.685,,,,,,,2.5,,,,74.185,,,
472,,46.5,2.5,21.57,,,,1.47,,,,72.04,,,
474,333.976,,,,,,,,,,,333.976,,,
475,15,,,,,,5,,,,,20,,,
476,75,,,14.43,,,,,0.7,,,90.13,,,
477,303.18,,,9,,,5,11.527,1.87,,,330.597,,,
478,111.7,,3.5,,,,2.17,18.375,12.03,,,147.775,,,
479,69,,,5,,3,1,2,,,,80,,,
480,45,,,,32.685,,,,,,,77.685,,,
481,145.871,3,,34,,,,7.658,,,1.711,192.24,,,
482,66.61,,,9.21,,1,1.5,,,,,78.32,,,
483,75.971,,,,,,1,3.029,,,,80,,,
484,4.121,,,,,,,,,,,4.121,800,,
485,30.08,0,0,2.45,0,0,4,2.25,2.87,0.47,0,42.12,,,
486,76.541,,,,,,,,,,,BLANK,,,
487,96.13,40,,,,,,,,,,136.13,,,
489,10,,,11.548,,,,,,,,21.548,,,
491,77.798,,,,,,,,,,,BLANK,,,
492,,10,,,,,,,,,,10,,,
493,29.76,,,,,,,2.273,,,,32.033,,,
494,37.18,,,,,,,1.36,,,,38.54,,,
495,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,
497,78.44,,,,,,1,2.949,,,,82.389,,,
498,65.46,,,,,,,1.943,,,,67.403,,,
499,256.37,,,19.12,,,,3.575,,,,279.065,,,
500,134.1,,,,,,,,,,,134.1,,,
501,19.09,,,,,,,1.789,,,,BLANK,,,
502,53,,,14,,,3,10,,,,80,,,
503,35,,,,,,,1,,,,36,,,
504,77.8,,,,,,1.2,1,,,,80,,,
505,106.642,,,11.161,,,1,6.162,,,,124.965,,,
506,29.569,,,1.852,,,0.5,2.059,,,,33.98,,,
507,,3.1,,21.704,,,1,,,,,BLANK,,,
508,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,
512,63,,,15.52,,,,,1.48,,,80,,,
513,176.47,,,6.81,,,,8.313,,,,191.613,,,
514,,,,,,,,,,,,,,,
515,9,,,25.129,,,,1.67,,,,35.8,2599.2,,
516,87.4,,3,9.21,,,2,,,,,101.61,,,
517,102.31,,,,,,,12.68,,,,BLANK,,,
518,0,0,0,0,0,0,0,0,40,0,0,BLANK,,,
519,,,,,,,,,,,,,,,
520,27.12,0,0,0,0,0,0,0,0,2.02,0,29.322,,,
521,427.76,,10,19.74,,,11.5,10.515,16.09,,,495.605,,,
522,62.2,,,,,,,4.372,,3,,69.572,,,
523,,,,,,,,,,,,,,,
524,242.2,,,,,,,9.368,,3.5,,255.068,,,
525,60.33,,,10,,,1.51,2.053,0.96,0.88,,75.733,,,
526,,,,,,,,,,,,,,,
527,124.14,0,0,43.12,0,0,3.5,7.693,14.34,,,192.793,,,
528,76,,,,,,,,4,,,80,,,
529,197.591,,,38.167,,,1,8..217,,,,BLANK,,,
530,261,,,8,,,1.34,8.9,1.1,,,280.34,,,
531,,56.92,,,,,,0.7,,,,57.62,,,
532,190.85,5,2,45.26,,,4,12.04,3.31,,,262.46,,,
533,110.6,,,14.242,,,,3.494,,,,128.336,,,
534,,20,50,5,,,5,,,,,80,,,
535,44,,,15,,,6,6.854,,,,71.854,,,
536,71.07,,,,,,1,2.93,,,,75,,,
537,159.54,6,,19.49,,,2.11,3.934,0.93,3.934,,196.338,,,
538,106,,,7,,,3,2,,,,118,,,
539,83.31,0,0,7.92,0,0,2.85,0.465,2.99,0,0,97.535,,,
540,34.239,,,2.614,,,,0.919,,,,BLANK,,,
541,54,,,17.5,,,2.5,,,,,74,,,
543,,7.5,,,,,,1.081,,,,8.581,,,
544,10,,,,,,,,,,,BLANK,,,
545,202,,,89.9,,,,4,,,,295.9,,,
546,234.208,,,,,,,11.08,,,,245.288,,,
547,43.8,,5.2,8.1,,,,0.181,19.6,,,76.881,,,
548,40,,,,,,1,6.084,,,,47.084,,,
549,50.39,,,28.98,,,,,0.25,,,79.62,,,
550,239,0,0,13.5,0,0,,13.2,0,0,0,265.7,,,
551,13.99,6,4.43,,,,,,,,,BLANK,,,
