OBJECTID,Parcel_AGAPPID_csv_AGAPPL,DISSOLVE_landuse_parcel_union_LAND_USE,SUM_SUM_DISSOLVE_landuse_parcel_union_SUM_ACREAGE,Shape_Length,Shape_Area
136,314,Conservation Practice 25%,15.275,37562.05657,665390.4454
137,319,Conservation Practice 25%,7.498,14180.40919,326609.6677
138,320,Conservation Practice 25%,0.036,204.456265,1562.715269
139,322,Conservation Practice 25%,0.353,1451.473409,15371.45469
140,335,Conservation Practice 25%,0.321,1201.314996,13988.14732
141,355,Conservation Practice 25%,0.568,1624.001905,24756.93333
142,359,Conservation Practice 25%,0.438,1982.455029,19082.87218
143,363,Conservation Practice 25%,4.066,3888.805648,177108.7281
144,389,Conservation Practice 25%,0.367,1053.558888,15972.31798
145,397,Conservation Practice 25%,0.165,376.5809683,7204.595993
146,413,Conservation Practice 25%,0.942,1442.741608,41037.75842
147,421,Conservation Practice 25%,0.139,1548.665006,6065.435762
148,429,Conservation Practice 25%,8.441,24292.72947,367671.5023
149,433,Conservation Practice 25%,1,1353.609051,43559.97539
150,436,Conservation Practice 25%,1.128,3292.104179,49130.96249
151,443,Conservation Practice 25%,0.072,2318.339857,3126.101038
152,446,Conservation Practice 25%,1.321,4128.899164,57523.58913
153,456,Conservation Practice 25%,1.386,1856.67941,60367.53307
154,462,Conservation Practice 25%,1.835,3438.297246,79931.39115
155,476,Conservation Practice 25%,0.126,1784.437888,5493.288045
156,477,Conservation Practice 25%,1.84,4458.225675,80150.71255
157,486,Conservation Practice 25%,1.067,2658.143034,46474.0499
158,512,Conservation Practice 25%,0.403,1162.263838,17552.12633
159,518,Conservation Practice 25%,1.535,3584.735953,66879.91181
160,520,Conservation Practice 25%,0.563,2269.082194,24514.14316
161,521,Conservation Practice 25%,4.852,20251.95648,211342.0538
162,522,Conservation Practice 25%,1.072,5469.597022,46692.43264
163,524,Conservation Practice 25%,1.54,5108.477181,67101.45369
164,525,Conservation Practice 25%,0.764,1692.182794,33295.59946
165,530,Conservation Practice 25%,1.253,4254.464924,54573.213
166,537,Conservation Practice 25%,2.47,10249.50021,107597.0991
167,539,Conservation Practice 25%,1.061,2899.433653,46217.21711
168,547,Conservation Practice 25%,1.5,4117.605132,65344.04293
169,578,Conservation Practice 25%,2.175,3461.751928,94758.20246
170,579,Conservation Practice 25%,2.17,9649.624034,94545.11661
171,587,Conservation Practice 25%,0.00E+00,161.0633641,0.565876606
172,590,Conservation Practice 25%,0.041,190.4727685,1782.39368
173,605,Conservation Practice 25%,0.335,980.2549403,14600.82429
174,606,Conservation Practice 25%,2.713,7087.198945,118180.7905
175,615,Conservation Practice 25%,1.609,4727.261988,70103.57678
176,617,Conservation Practice 25%,2.975,6963.718358,129582.5811
177,623,Conservation Practice 25%,0.042,254.6904699,1838.366422
178,630,Conservation Practice 25%,9.302,8138.803906,405183.6598
179,636,Conservation Practice 25%,4.947,4794.521723,215482.5255
180,643,Conservation Practice 25%,4.259,9661.84553,185507.4537
181,646,Conservation Practice 25%,0.679,2593.371784,29580.79937
182,652,Conservation Practice 25%,2.053,3760.20082,89438.32643
183,659,Conservation Practice 25%,4.51,12496.93271,196447.3849
184,663,Conservation Practice 25%,9.313,28936.90831,405673.1648
185,679,Conservation Practice 25%,1.103,2880.832149,48028.15334
186,691,Conservation Practice 25%,9.792,35213.84923,426533.6082
187,701,Conservation Practice 25%,1.284,7045.960797,55952.30966
188,703,Conservation Practice 25%,2.379,2780.414313,103632.2732
189,710,Conservation Practice 25%,0.08,450.4154586,3466.795811
190,719,Conservation Practice 25%,2.14,7833.874877,93231.32143
191,720,Conservation Practice 25%,0.908,2011.855406,39566.1472
192,721,Conservation Practice 25%,0.241,1030.325568,10512.12265
193,725,Conservation Practice 25%,0.001,27.36121327,22.20106709
194,755,Conservation Practice 25%,1.053,930.9120204,45884.13621
195,764,Conservation Practice 25%,0.022,131.6145593,968.1644479
196,773,Conservation Practice 25%,0.286,4574.035102,12459.4444
197,774,Conservation Practice 25%,8.364,5889.42074,364352.2074
198,807,Conservation Practice 25%,0.89,3334.694277,38750.60122
199,818,Conservation Practice 25%,2.803,8783.613136,122105.3749
200,819,Conservation Practice 25%,0.407,953.4503798,17742.27141
201,829,Conservation Practice 25%,1.314,5087.753122,57253.89159
202,833,Conservation Practice 25%,0.016,113.2452641,705.3033058
203,848,Conservation Practice 25%,1.108,3078.032825,48277.7012
204,861,Conservation Practice 25%,0.872,2125.244742,37982.15145
205,871,Conservation Practice 25%,3.883,14282.75334,169139.6141
206,877,Conservation Practice 25%,0.668,2679.369666,29088.40021
207,885,Conservation Practice 25%,2.033,5427.707659,88540.94962
208,886,Conservation Practice 25%,0.632,1522.889825,27537.87151
209,899,Conservation Practice 25%,2.46,2777.537881,107141.9183
210,900,Conservation Practice 25%,2.402,3403.538482,104631.7432
211,901,Conservation Practice 25%,0.663,1472.214407,28881.9265
212,923,Conservation Practice 25%,0.422,1644.901008,18374.57189
213,940,Conservation Practice 25%,2.953,9133.465226,128634.8873
214,982,Conservation Practice 25%,0.724,1877.883908,31525.21472
215,986,Conservation Practice 25%,1.26,3349.05308,54886.87832
216,1007,Conservation Practice 25%,1.638,7069.471605,71365.548
217,1017,Conservation Practice 25%,0.05,438.6219573,2172.193323
218,1029,Conservation Practice 25%,0.237,419.1143276,10322.15104
219,1030,Conservation Practice 25%,0.071,925.7616029,3072.435575
220,1031,Conservation Practice 25%,0.342,1316.760835,14907.49032
221,1039,Conservation Practice 25%,0.809,2401.872654,35220.4092
222,1043,Conservation Practice 25%,1.819,3494.405241,79248.07403
223,1052,Conservation Practice 25%,5.438,16515.9033,236870.8941
224,1054,Conservation Practice 25%,0.691,2992.560022,30104.49941
225,1067,Conservation Practice 25%,0.009,106.231783,393.0658913
226,1071,Conservation Practice 25%,0.71,2277.336868,30927.5057
227,1075,Conservation Practice 25%,0.451,1357.94981,19649.44899
228,1080,Conservation Practice 25%,1.023,2869.991286,44569.87999
229,1082,Conservation Practice 25%,1.334,6804.364084,58099.86864
230,1097,Conservation Practice 25%,3.335,8036.263042,145288.4303
231,1104,Conservation Practice 25%,0.008,116.6721029,330.7459614
232,1106,Conservation Practice 25%,0.092,311.2911049,4013.340868
233,1108,Conservation Practice 25%,0.143,601.9928852,6220.636457
234,1113,Conservation Practice 25%,1.534,3818.956827,66823.30503
235,1115,Conservation Practice 25%,0.059,278.6304233,2572.076283
236,1120,Conservation Practice 25%,0.223,893.9381764,9697.87524
237,1128,Conservation Practice 25%,5.88,17138.4497,256117.8721
238,1139,Conservation Practice 25%,0.311,575.9198531,13558.24538
239,1147,Conservation Practice 25%,0,45.53134271,5.779041573
240,1148,Conservation Practice 25%,4.737,10924.8978,206357.881
241,1159,Conservation Practice 25%,3.624,8473.334474,157875.3398
242,1161,Conservation Practice 25%,2.652,8854.037447,115527.8394
243,1162,Conservation Practice 25%,0.969,2655.297826,42197.34102
244,1169,Conservation Practice 25%,0.979,1384.312715,42666.30098
245,1179,Conservation Practice 25%,2.182,10154.97363,95030.99567
246,1187,Conservation Practice 25%,7.521,24270.05479,327619.8138
247,1196,Conservation Practice 25%,1.243,3739.05255,54141.08785
248,1204,Conservation Practice 25%,2.203,7199.099007,95982.25227
249,1240,Conservation Practice 25%,16.969,17219.88733,739162.8156
250,1253,Conservation Practice 25%,1.559,3913.487175,67904.0496
251,1266,Conservation Practice 25%,0.385,1528.638428,16750.61828
252,1275,Conservation Practice 25%,1.022,2512.201516,44516.86083
253,1278,Conservation Practice 25%,1.194,4819.525736,52014.51098
254,1294,Conservation Practice 25%,0.412,2124.332973,17962.27657
255,1297,Conservation Practice 25%,0.883,1021.843207,38466.71828
256,1305,Conservation Practice 25%,1.435,5298.192179,62507.57939
257,1307,Conservation Practice 25%,1.127,4470.8946,49079.19467
258,1311,Conservation Practice 25%,0.336,1536.96499,14626.43019
259,1315,Conservation Practice 25%,2.08,4676.346718,90620.73852
260,1348,Conservation Practice 25%,3.98,5765.543054,173365.4699
261,1354,Conservation Practice 25%,9.277,23536.28289,404117.9676
262,1362,Conservation Practice 25%,0.884,4448.109706,38504.46443
263,1365,Conservation Practice 25%,3.218,9211.342567,140195.7448
264,1376,Conservation Practice 25%,0.231,478.3312882,10055.01853
265,1385,Conservation Practice 25%,0.44,2128.042169,19146.68776
266,1411,Conservation Practice 25%,0.679,3456.040964,29564.85711
267,1426,Conservation Practice 25%,0.772,2252.558794,33606.55201
268,1439,Conservation Practice 25%,3.574,12466.80985,155694.7614
269,1447,Conservation Practice 25%,0.38,1913.739161,16545.48169
270,1452,Conservation Practice 25%,0.119,412.0017574,5195.621946
271,1464,Conservation Practice 25%,1.048,4662.409394,45641.81017
272,1493,Conservation Practice 25%,0.468,2220.887714,20378.77607
273,1499,Conservation Practice 25%,0.322,1565.932985,14046.17084
274,1509,Conservation Practice 25%,0.674,686.4444615,29357.14652
275,1516,Conservation Practice 25%,1.035,4800.055646,45068.51487
276,1520,Conservation Practice 25%,1.979,6202.443016,86206.34454
277,1523,Conservation Practice 25%,2.269,3892.985989,98820.62819
278,1528,Conservation Practice 25%,3.152,16326.96651,137288.9955
279,1530,Conservation Practice 25%,9.143,14195.28602,398275.1825
280,1532,Conservation Practice 25%,0.239,5100.804366,10416.49927
281,1534,Conservation Practice 25%,0.098,465.3940699,4284.504344
282,1541,Conservation Practice 25%,2.062,5726.785657,89821.23003
283,1542,Conservation Practice 25%,3.202,10719.17891,139490.193
284,1561,Conservation Practice 25%,3.085,2456.47965,134373.8479
285,1571,Conservation Practice 25%,1.534,5398.633027,66809.22594
286,1581,Conservation Practice 25%,1.22,2728.045658,53146.81552
287,1583,Conservation Practice 25%,0.619,4592.426245,26960.39347
288,1584,Conservation Practice 25%,3.537,11446.78446,154068.2925
289,1585,Conservation Practice 25%,2.335,6039.071178,101691.5908
290,1598,Conservation Practice 25%,0.223,773.3818538,9730.783664
291,1602,Conservation Practice 25%,0.086,435.5423911,3752.540704
292,1606,Conservation Practice 25%,3.221,7361.753619,140325.9459
293,1608,Conservation Practice 25%,1.16,7368.370701,50507.70823
294,1614,Conservation Practice 25%,1.287,2448.83888,56057.46519
295,1618,Conservation Practice 25%,2.249,5055.897819,97965.42011
296,1625,Conservation Practice 25%,2.12,7660.675392,92347.82367
297,1636,Conservation Practice 25%,3.214,9668.282657,139987.4815
298,1656,Conservation Practice 25%,0.115,469.9075743,4997.779063
299,1657,Conservation Practice 25%,0.991,4428.708682,43187.53426
300,1660,Conservation Practice 25%,0.782,1485.647926,34061.66535
301,1668,Conservation Practice 25%,1.753,6083.210534,76368.58597
302,1671,Conservation Practice 25%,0.91,2017.455641,39640.68408
303,1677,Conservation Practice 25%,0.1,324.8430757,4363.459677
304,1692,Conservation Practice 25%,0.438,2652.852238,19071.76386
305,1696,Conservation Practice 25%,0.403,618.9294009,17573.7515
306,1706,Conservation Practice 25%,2.022,8618.646794,88093.57234
307,1720,Conservation Practice 25%,1.195,1271.906189,52038.35083
308,1730,Conservation Practice 25%,2.988,9737.487614,130147.9389
309,1734,Conservation Practice 25%,0.281,525.3152226,12238.72092
310,1735,Conservation Practice 25%,4.577,18330.94222,199376.9253
311,1743,Conservation Practice 25%,0.319,732.2924861,13886.78791
312,1753,Conservation Practice 25%,0.412,1830.72479,17968.30626
313,1756,Conservation Practice 25%,0.911,6333.977637,39693.67492
314,1759,Conservation Practice 25%,2.831,7423.905972,123312.5878
315,1762,Conservation Practice 25%,0.19,618.6129211,8267.909416
316,1763,Conservation Practice 25%,0.258,819.7218415,11258.56171
317,1768,Conservation Practice 25%,0.58,1388.074368,25274.93146
318,1776,Conservation Practice 25%,6.284,20284.24784,273721.5492
319,1783,Conservation Practice 25%,4.388,16607.34365,191157.7522
320,1787,Conservation Practice 25%,0.074,299.7707098,3202.604252
321,1797,Conservation Practice 25%,1.573,2456.092348,68537.91155
322,1838,Conservation Practice 25%,0.128,289.4742719,5581.166269
323,1860,Conservation Practice 25%,1.843,5696.609972,80271.80197
324,1868,Conservation Practice 25%,6.496,9617.666937,282978.3812
325,1869,Conservation Practice 25%,3.954,12197.86615,172249.449
326,1872,Conservation Practice 25%,0.699,6121.24785,30427.55972
327,1888,Conservation Practice 25%,0.249,700.6436155,10827.32086
328,1889,Conservation Practice 25%,0.51,6012.959851,22220.37027
329,1910,Conservation Practice 25%,0.918,1931.906409,40006.83346
330,1912,Conservation Practice 25%,1.881,8585.235402,81929.28557
331,1914,Conservation Practice 25%,0.387,855.9492296,16839.98466
332,1920,Conservation Practice 25%,0.828,5604.450174,36070.12454
333,1930,Conservation Practice 25%,1.146,1233.735439,49915.90638
334,1963,Conservation Practice 25%,0.563,844.385427,24507.16733
335,1965,Conservation Practice 25%,4.839,12914.72567,210802.1804
336,1968,Conservation Practice 25%,0.237,929.0702315,10304.05359
337,1977,Conservation Practice 25%,0.266,1053.368994,11578.04207
338,1984,Conservation Practice 25%,0.054,480.8964706,2371.712591
339,1998,Conservation Practice 25%,0.463,1871.973846,20151.70276
340,2010,Conservation Practice 25%,0.699,1936.315219,30441.11761
341,2016,Conservation Practice 25%,0.863,1938.250911,37606.92854
342,2018,Conservation Practice 25%,0.812,1007.734036,35381.99512
343,2027,Conservation Practice 25%,0.831,2603.380745,36177.70487
344,2057,Conservation Practice 25%,0.322,960.3032005,14010.38697
345,2058,Conservation Practice 25%,3.385,9053.432516,147443.9275
346,2070,Conservation Practice 25%,0.957,2452.121988,41683.9694
347,2074,Conservation Practice 25%,4.385,5018.590032,191000.2765
348,2082,Conservation Practice 25%,1.639,4553.150949,71408.88995
349,2090,Conservation Practice 25%,0.856,2502.355167,37299.03
350,2094,Conservation Practice 25%,0.715,3509.8864,31162.79949
351,2106,Conservation Practice 25%,0.097,629.0281247,4213.839011
352,2145,Conservation Practice 25%,2.509,7369.127383,109280.0747
353,2150,Conservation Practice 25%,4.578,11580.14892,199428.8572
354,2194,Conservation Practice 25%,3.218,9587.330693,140186.6348
355,2227,Conservation Practice 25%,1.428,5146.909308,62211.83918
356,2231,Conservation Practice 25%,0.34,1174.118563,14810.85309
357,2233,Conservation Practice 25%,0.806,3035.672087,35127.11749
358,2243,Conservation Practice 25%,1.256,4376.675365,54715.67706
359,2245,Conservation Practice 25%,0.868,2133.037127,37815.59314
360,2265,Conservation Practice 25%,1.417,2758.976053,61706.2814
361,2270,Conservation Practice 25%,0.001,90.44300769,48.01224631
362,2271,Conservation Practice 25%,3.898,11988.97628,169790.2104
363,2283,Conservation Practice 25%,1.281,5643.106071,55779.24418
364,2299,Conservation Practice 25%,0.047,206.7998658,2067.656653
365,2312,Conservation Practice 25%,11.081,4898.723566,482704.7945
366,2322,Conservation Practice 25%,1.077,1825.293674,46894.25787
367,2326,Conservation Practice 25%,0.242,571.5592835,10542.99965
368,2328,Conservation Practice 25%,1.903,6104.830625,82883.92885
369,2338,Conservation Practice 25%,0.87,2707.959602,37905.49027
370,2341,Conservation Practice 25%,0.022,138.9355674,949.0949576
371,2352,Conservation Practice 25%,4.269,13995.46044,185968.7767
372,2363,Conservation Practice 25%,0.168,476.4723033,7300.120373
373,2371,Conservation Practice 25%,5.05,11848.75118,219998.4604
374,2382,Conservation Practice 25%,1.202,1765.664566,52349.56073
375,2386,Conservation Practice 25%,0.519,2554.876526,22607.74244
376,2393,Conservation Practice 25%,0.272,860.5528558,11841.18667
377,2399,Conservation Practice 25%,0.688,3051.323246,29982.82235
378,2423,Conservation Practice 25%,1.734,3137.596349,75528.51308
379,2425,Conservation Practice 25%,0.662,1737.532086,28857.79214
380,2433,Conservation Practice 25%,3.856,8592.824146,167951.7158
381,2446,Conservation Practice 25%,1.755,5564.76205,76429.44347
382,2459,Conservation Practice 25%,0.364,1533.641383,15864.96194
383,2461,Conservation Practice 25%,0.052,196.7089369,2268.915504
384,2492,Conservation Practice 25%,0.545,2385.383608,23723.09797
385,2494,Conservation Practice 25%,4.862,4295.370912,211800.4404
386,2519,Conservation Practice 25%,1.402,7869.406922,61089.45779
387,2544,Conservation Practice 25%,0.241,489.4418051,10481.88035
388,2545,Conservation Practice 25%,6.866,18168.89039,299095.5723
389,2569,Conservation Practice 25%,4.442,12804.50275,193475.6375
390,2572,Conservation Practice 25%,0.978,4052.334058,42604.51955
391,2573,Conservation Practice 25%,15.722,48147.33326,684863.0607
392,2603,Conservation Practice 25%,1.822,6856.23635,79374.85102
393,2606,Conservation Practice 25%,0.612,2109.275935,26640.48994
394,2623,Conservation Practice 25%,3.619,8714.348343,157628.2334
395,2626,Conservation Practice 25%,0.257,907.6191699,11178.03711
396,2681,Conservation Practice 25%,2.087,8024.355118,90907.3862
397,2683,Conservation Practice 25%,4.812,23163.93547,209591.8931
398,2707,Conservation Practice 25%,0.027,149.0967706,1186.607185
399,2739,Conservation Practice 25%,0.157,727.9240901,6829.285725
400,2741,Conservation Practice 25%,17.701,13304.69151,771068.7116
401,2768,Conservation Practice 25%,0.533,2081.855568,23221.81544
402,2790,Conservation Practice 25%,5.322,6095.317793,231817.7122
403,2793,Conservation Practice 25%,0.005,83.8841881,234.2006469
404,2811,Conservation Practice 25%,0.238,1272.727046,10376.42492
405,2840,Conservation Practice 25%,0.078,1996.703561,3410.768795
406,2851,Conservation Practice 25%,2.544,6558.136084,110836.0576
407,2863,Conservation Practice 25%,0.246,487.0390298,10717.15964
408,2879,Conservation Practice 25%,0.334,1164.511213,14556.33147
409,2880,Conservation Practice 25%,0.724,1627.368233,31525.28824
410,2891,Conservation Practice 25%,3.982,2904.978394,173443.7624
411,2934,Conservation Practice 25%,0.004,611.444458,183.8221941
412,2945,Conservation Practice 25%,1.133,3630.955423,49357.1434
413,2946,Conservation Practice 25%,0.069,620.2553106,2986.976482
414,2965,Conservation Practice 25%,0.373,2164.092011,16230.86105
415,2976,Conservation Practice 25%,4.596,8167.720709,200203.9846
416,2999,Conservation Practice 25%,1.167,4483.162491,50829.71642
417,3002,Conservation Practice 25%,0.468,1786.348609,20393.91232
418,3004,Conservation Practice 25%,2.068,4990.142904,90078.43727
419,3017,Conservation Practice 25%,0.31,1275.344846,13517.95867
420,3032,Conservation Practice 25%,4.054,10472.11008,176608.8026
421,3036,Conservation Practice 25%,0.17,668.4548946,7405.649976
422,3040,Conservation Practice 25%,0.094,432.5281696,4098.908249
423,3052,Conservation Practice 25%,0.401,782.0684596,17455.88417
424,3053,Conservation Practice 25%,0.00E+00,18.16511968,1.124050411
425,3054,Conservation Practice 25%,9.273,2890.773614,403918.4508
426,3058,Conservation Practice 25%,3.324,9957.447632,144776.0263
427,3068,Conservation Practice 25%,4.115,11793.46983,179236.9886
428,3086,Conservation Practice 25%,1.185,7687.805995,51635.39976
429,3099,Conservation Practice 25%,1.661,5631.713792,72333.83733
430,3103,Conservation Practice 25%,0.002,73.13224793,83.01357542
431,3116,Conservation Practice 25%,2.479,1476.449485,107982.319
432,3129,Conservation Practice 25%,0.13,362.4413876,5665.515442
433,3131,Conservation Practice 25%,0.762,1064.428987,33177.19207
434,3141,Conservation Practice 25%,0.966,1069.692455,42086.33638
435,3169,Conservation Practice 25%,0.31,1750.39324,13523.30393
436,3176,Conservation Practice 25%,1.286,2097.414373,56022.95059
437,888888,Conservation Practice 25%,0.002,43.29854829,74.05114605
438,999999,Conservation Practice 25%,11.958,23054.01058,520881.8933
100,,Conservation Practice 25%,0.053,906.6249533,2299.575344
